店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
全席個室居酒屋 四季宴 池袋本店,050-5487-5532,,東京都,豊島区西池袋,3-29-4,ジェスト7ビル4F,,False
日本酒・海鮮居酒屋 魚吟商店 新橋本店,050-5487-2770,,東京都,港区新橋,2-2-7,1F,,False
日本酒と魚と和牛 漁夜 新宿総本店,050-5489-2974,,東京都,新宿区歌舞伎町,1-12-3,,,False
全席完全個室 京出汁おでん×鮮魚×炉端焼き 魚縁ほたる上野店,050-5494-4133,,東京都,台東区上野,7-3-2,TSDビル4F,,False
炭火と酒 炉虎 田町店,050-5485-2382,,東京都,港区芝浦,3-12-1,マキノビル3F,,False
全席個室 じぶんどき 丸の内センタービル店,050-2018-8901,,東京都,千代田区丸の内,1-6-1,丸の内センタービルディングB1,https://jibundoki.dkdining.com/marunouchi_center_building/,True
全席個室 じぶんどき 秋葉原駅前店,050-2018-8917,,東京都,千代田区外神田,1-18-19,BiTOAKIBA8F,https://jibundoki.dkdining.com/akihabara/,True
天ぷら 海鮮 個室居酒屋 天海 上野駅前店,050-5493-5177,,東京都,台東区上野,6-13-14,UenoGate2F,,False
全席個室 じぶんどき 品川港南口店,050-2018-8872,,東京都,港区港南,2-5-14,カナーレ品川,https://jibundoki.dkdining.com/shinagawa/,True
全席個室 夢や京町しずく 八重洲店,050-2018-8853,,東京都,中央区日本橋,3-2-17,日本橋三丁目ビル2F,https://kyomachi.dkdining.com/yaesu/,True
個室居酒屋 大吉 新宿西口店,050-5494-6036,,東京都,新宿区西新宿,1-18-5,甲新ビル5F,,False
寿司酒場 完全個室 居酒屋 きんのだし 秋葉原店,050-5492-0989,,東京都,千代田区外神田,1-13-1,Akiba1131.bldg7F,,False
全席個室 極上海鮮 北海道紀行 浜松町店,070-9403-7298,,東京都,港区浜松町,2-5-8,B1,,False
全席個室 おばんざいと創作京料理と海の恵み 季作 品川店,050-5488-5415,,東京都,港区港南,2-2-9,朝日ビル6F,,False
全席個室 湊一や 日本橋八重洲店,050-2018-8851,,東京都,中央区日本橋,2-3-4,日本橋プラザビル2F,https://minatoichiya.dkdining.com/nihonbashi/,True
個室 肴と地酒 ４５６酒場 新橋店,050-5488-5528,,東京都,港区新橋,3-23-1,TRN新橋2F,,False
全席個室 じぶんどき 田町三田口駅前店,050-2018-8968,,東京都,港区芝,5-31-24,勝文館共同ビル4F,https://jibundoki.dkdining.com/tamachi/,True
本鮪と馬肉　原始焼きの鮪馬問屋　雨宮家,050-5484-4947,,東京都,千代田区有楽町,1-6-1,第二日比谷ビル6F,,False
マグロと厚切り牛タン九州本陣 魚伝 有楽町店,050-5484-4909,,東京都,千代田区有楽町,1-6-1,第二日比谷ビル5F,,False
浅草 焼き鳥と和牛と海鮮 個室居酒屋 座江戸,050-5492-3239,,東京都,台東区浅草,1-8-4,,,False
名古屋コーチン 本格鳥料理 完全個室 秋月 秋葉原店,050-5492-1112,,東京都,千代田区外神田,1-13-1,Akiba1131.bldg6F,,False
炭火焼鳥専門×全席個室居酒屋 吟八 日本橋店,050-5494-6979,,東京都,中央区日本橋室町,1-11-2,松楽ビル3F,,False
250席全席扉付き完全個室居酒屋 わらやき道場 新橋駅前店,050-5488-2804,,東京都,港区新橋,2-16-1,ニュー新橋ビル3F,,False
海鮮寿司居酒屋 すししもず,050-5494-5883,,東京都,港区港南,1-8-27,日新ビルB1,,False
海鮮居酒屋 立川 磯坊主,050-5486-4958,,東京都,立川市曙町,2-15-18,,,False
れんや 四ツ谷店,050-5485-3030,,東京都,新宿区四谷,1-7-15,B1,,False
海鮮と日本酒 海匠 KAISHO 品川店,050-1792-4844,,東京都,港区港南,2-2-10,鳳和ビル4F,https://gdf5806.gorp.jp/,True
全席個室 じぶんどき 新宿東口駅前店,050-2018-8897,,東京都,新宿区新宿,3-36-10,ミラザビル5F,https://jibundoki.dkdining.com/shinjuku/,True
【完全個室】3時間飲み放題 朝〆鮮魚×京風和食 三蔵錦糸町店,050-5492-3415,,東京都,墨田区江東橋,4-28-1,3F,,False
せいろ蒸しと創作和牛 個室 隠居亭 新宿西口本店,050-5493-7185,,東京都,新宿区西新宿,1-15-2,第五オムニクスビル1F,,False
炭火焼鳥専門 個室居酒屋 久保田 浜松町店,050-5492-4618,,東京都,港区浜松町,1-28-13,Daimonex23F,,False
全席個室 じぶんどき 上野駅前店,050-2018-8924,,東京都,台東区上野,4-10-5,ヒューリック上野公園前ビル3F,https://jibundoki.dkdining.com/ueno/,True
海鮮と日本酒 個室居酒屋 海匠 KAISHO はなれ,050-5494-2390,,東京都,港区港南,2-2-10,4F,,False
全席個室 じぶんどき 有楽町日比谷店,050-2018-8863,,東京都,千代田区有楽町,1-6-8,松井ビル3～4F,https://jibundoki.dkdining.com/hibiya/,True
海鮮・鮨 食べ放題 かに村 銀座新橋店,050-5494-4783,,東京都,港区新橋,1-4-5,FPGリンクス新橋ビル2F,,False
47都道府県の日本酒勢揃い 完全個室 藁焼き稲荷商店 秋葉原店,03-4477-2620,,東京都,千代田区外神田,1-13-1,Akiba1131.bldg8F,,False
海鮮と日本酒 北丸 有楽町本店,050-5486-6426,,東京都,千代田区有楽町,2-3-2,SIL有楽町7F,,False
個室×肴と地酒 満咲,050-5488-3208,,東京都,江東区豊洲,4-7-7,1F,,False
炭火焼鳥 鳥三昧 浜松町店,050-5494-6700,,東京都,港区浜松町,2-5-8,井門浜松町ビル2F,,False
全席個室 じぶんどき 大崎ブライトタワー店,050-2018-8866,,東京都,品川区北品川,5-6-1,大崎ブライトタワー2F,https://jibundoki.dkdining.com/osaki/,True
海鮮・個室 漁師料理 かさい,050-5485-3746,,東京都,江戸川区中葛西,3-35-16,葛西駅前ビル2F,,False
食べ飲み放題全145種 個室居酒屋 魚でん 神田店,03-6260-7982,,東京都,千代田区内神田,3-21-8,2F,,False
寿司居酒屋 モナリザ 秋葉原店,050-5494-3713,,東京都,千代田区神田佐久間町,1-19,山中ビルB1,,False
全席個室 じぶんどき 蒲田駅前店,050-2018-8868,,東京都,大田区蒲田,5-13-31,,https://jibundoki.dkdining.com/kamata/,True
海鮮と地鶏 個室居酒屋 囲炉裏 ～ゆるり～町田店,050-5488-8002,,東京都,町田市中町,1-16-14,,,False
全席個室 じぶんどき 府中店,050-2018-8893,,東京都,府中市宮西町,1-3-3,Bビル5F,https://jibundoki.dkdining.com/fuchu/,True
全120品食べ飲み放題 個室居酒屋 酒蔵 季（TOKI）錦糸町本店,050-5486-3630,,東京都,墨田区錦糸,3-2-1,アルカイーストB1,,False
神田 炉端と酒 焔,050-5484-3548,,東京都,千代田区内神田,3-7-6,神田アバックビル,,False
旬食材の原始焼と日本酒 豊丸 豊洲店,03-6204-9167,,東京都,江東区豊洲,5-6-36,豊洲プライムスクエア2F,,False
海鮮・鮨 食べ放題 かに村 上野本店,050-5486-7414,,東京都,台東区上野,3-28-6,第一大島ビル1F,,False
