店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
あたらよ 秋葉原店,03-6635-1082,,東京都,千代田区神田佐久間町,1-15,川初ビル4階,https://gj95805.gorp.jp/,True
大衆居酒屋 酒場三九 渋谷店,050-5488-5106,,東京都,渋谷区宇田川町,13-8,ちとせ会館5F,https://gjf3506.gorp.jp/,True
旬昧 みやび 秋葉原店,050-5488-9628,,東京都,千代田区神田佐久間町,1-15,川初ビル4F,https://gj95806.gorp.jp/,True
貸切 ワインダイニング NARUTO 新橋,050-5492-7927,,東京都,港区新橋,4-15-7,1F,https://gjx5500.gorp.jp/,True
焼肉横丁 秋葉原本店,050-5488-9500,,東京都,千代田区神田佐久間町,1-15,川初ビル4F,https://gj95807.gorp.jp/,True
小川の魚 吉祥寺 居酒屋,050-5492-8995,,東京都,武蔵野市吉祥寺南町,2-9-13,,https://g923915.gorp.jp/,True
全席個室 鮨と酒日和 ととうお 秋葉原駅前店,050-2018-8914,,東京都,千代田区神田佐久間町,1-16,ダイニングスクエア秋葉原ビル5F,https://totouo.dkdining.com/akihabara/,True
銀座 四海 極上海鮮 ビュッフェダイニング,050-5487-5798,,東京都,中央区銀座,2-4-6,銀座ベルビア館9F,https://gjw0200.gorp.jp/,True
厳選和食と銘酒 完全個室居酒屋 なごみ 新宿西口店,050-5488-6862,,東京都,新宿区西新宿,1-15-8,5F,https://ggxh803.gorp.jp/,True
旬鮮魚と国産地鶏 全席個室 地鶏の里鶏極－とりき－ 新橋店,050-5485-2060,,東京都,港区新橋,3-16-3,7F,https://gdgc203.gorp.jp/,True
焼き鳥居酒屋 鳥ごころ 新宿東口店,050-5487-0369,,東京都,新宿区歌舞伎町,1-23-13,下村ビル2F,https://gjj2102.gorp.jp/,True
東方紅 立川高島屋店,050-5485-1575,,東京都,立川市曙町,2-39-3,立川高島屋S.C.9F,https://gjpe300.gorp.jp/,True
海鮮と日本酒 個室居酒屋 海匠 KAISHO はなれ,050-5494-2390,,東京都,港区港南,2-2-10,4F,https://gjud900.gorp.jp/,True
半個室あり 国産牛すき焼き 北前蕎麦和食居酒屋 高田屋 池袋店,050-5485-4872,,東京都,豊島区西池袋,1-17-10,エキニア池袋B1,https://takada-ya.co.jp,True
Dining Cafe ESPERIA（エスペリア）,050-5488-3539,info@esuperia.co.jp,東京都,千代田区神田神保町,2-4,太平電業ビルB1,https://esuperia.co.jp/,True
焼肉うし 池袋西口,050-5487-6824,,東京都,豊島区西池袋,1-29-7,池袋大野ビル3F,https://gjrw500.gorp.jp/,True
全席個室 じぶんどき 丸の内センタービル店,050-2018-8901,,東京都,千代田区丸の内,1-6-1,丸の内センタービルディングB1,https://jibundoki.dkdining.com/marunouchi_center_building/,True
串焼きと野菜巻き 個室居酒屋串や三ぞう 吉祥寺店,03-6635-2888,,東京都,武蔵野市吉祥寺本町,1-8-10,KichijojiexB2,https://gcd1149.gorp.jp/,True
全席個室 旨いマグロと信玄どり 海鮮居酒屋 漁火 新橋店,090-1215-6429,,東京都,港区新橋,3-21-9,2F,https://gb2c705.gorp.jp/,True
